t_index   term                     df
494       appleton                   2
495       appli                      18
496       applic                     16
497       appoint                    68
498       appointe                   3
499       apprais                    2
500       appreci                    16
501       apprehend                  4
502       apprehens                  2
503       apprentic                  3
504       appris                     1
505       approach                   49
506       appropri                   18
507       approv                     25
508       approxim                   12
509       april                      67
510       aprista                    4
511       apron                      1
512       aquil                      2
513       arab                       61
514       arabi                      1
515       arabia                     71
516       arabian                    44
517       arafat                     16
518       arantxa                    3
519       arazi                      7
520       arbadi                     1
521       arbit                      1
522       arbitrari                  2
523       arbitrarili                1
524       arc                        1
525       arch                       2
526       archaeolog                 2
527       archbishop                 4
528       archer                     1
529       archeri                    4
530       archetyp                   1
531       archi                      5
532       archibald                  1
533       architect                  7
534       architectur                4
535       arctic                     6
536       ardent                     4
537       arduou                     1
538       are                        2
539       area                       186
540       aren                       16
541       arena                      22
542       aretz                      1
543       argentin                   1
544       argentina                  10
545       argu                       45
546       arguabl                    2
547       argument                   18
548       ari                        1
549       arid                       5
550       arif                       1
551       arisen                     1
552       arithmet                   1
553       aritomi                    4
554       ariz                       8
555       arizona                    7
556       ark                        8
557       arkadelphia                1
558       arkan                      1
559       arkansa                    28
560       arkin                      2
561       arleigh                    3
562       arlen                      2
563       arlington                  8
564       arm                        133
565       armament                   2
566       armbrist                   1
567       armenia                    2
568       armey                      1
569       armi                       136
570       armitag                    1
571       armor                      17
572       armori                     3
573       arn                        3
574       arnaud                     17
575       arni                       1
576       arno                       1
577       arnold                     3
578       arnot                      1
579       aros                       5
580       around                     191
581       arous                      1
582       arraign                    2
583       arrang                     38
584       array                      6
585       arrear                     1
586       arrest                     109
587       arriv                      180
588       arrog                      3
589       arrow                      4
590       arsen                      10
591       arseni                     1
592       arsonist                   1
593       art                        11
594       arthriti                   1
595       arthur                     4
596       articl                     5
597       articul                    1
598       artifact                   1
599       artifici                   4
600       artist                     4
601       artudo                     1
602       arturo                     6
603       aruba                      2
604       aryapov                    1
605       asa                        1
606       asahi                      1
607       ascend                     1
608       ascrib                     4
609       asean                      1
610       ash                        5
611       asham                      1
612       ashcroft                   56
613       ashkroft                   1
614       ashok                      1
615       ashor                      2
616       ashraf                     1
617       ashtray                    1
618       asia                       32
619       asian                      15
620       asid                       30
621       ask                        196
622       aspect                     11
623       aspir                      2
624       assad                      1
625       assail                     4
626       assam                      6
627       assassin                   21
628       assault                    28
629       assembl                    19
630       assert                     17
631       assess                     48
632       asset                      10
633       assign                     24
634       assist                     76
635       associ                     119
636       assort                     1
637       assum                      38
638       assumpt                    7
639       assur                      35
640       assuredli                  2
641       astakhov                   12
642       asterisk                   2
643       astonish                   7
644       astound                    2
645       astronom                   1
646       astut                      1
647       asylum                     29
648       asymmetr                   2
649       atal                       13
650       atck                       2
651       ate                        4
652       atf                        2
653       atfein                     1
654       ath                        1
655       athal                      1
656       athlet                     3
657       atlant                     15
658       atlanta                    6
659       atmat                      1
660       atmospher                  10
661       atom                       4
662       atop                       13
663       atp                        3
664       atroc                      10
665       atrophi                    1
666       attach                     15
667       attack                     306
668       attain                     1
669       attar                      1
670       attempt                    112
671       attend                     68
672       attent                     64
673       attest                     2
674       attitud                    10
675       attorney                   58
676       attract                    15
677       attribut                   12
678       attrit                     1
679       atwan                      1
680       aubrey                     19
681       aubri                      5
682       audienc                    16
683       audio                      4
684       audiotap                   1
685       auditor                    5
686       auditorium                 1
687       aug                        33
688       augment                    1
689       august                     32
690       aunt                       2
691       aur                        5
692       aura                       1
693       aurora                     4
694       ausi                       1
695       aussi                      9
696       auster                     2
697       austin                     18
698       australia                  23
699       australian                 72
700       austria                    3
701       austrian                   1
702       austro                     1
703       authent                    2
704       author                     255
705       authoritarian              27
706       auto                       1
707       autocrat                   27
708       autograph                  1
709       autom                      1
710       automat                    18
711       automobil                  4
712       autonom                    1
713       autonomi                   3
714       autopilot                  1
715       autopsi                    1
716       autumn                     2
717       avail                      44
718       avala                      1
719       avalanch                   1
720       ave                        1
721       aveng                      7
722       avent                      1
723       avenu                      4
724       averag                     14
725       avert                      6
726       aviat                      3
727       aviv                       4
728       avner                      2
729       avoid                      59
730       avow                       1
731       aw                         10
732       awad                       2
733       await                      27
734       awaken                     2
735       awar                       18
736       award                      9
737       away                       167
738       awe                        4
739       aweigh                     1
740       awkward                    4
741       awn                        4
742       awok                       1
743       axam                       1
744       axe                        1
745       ayatollah                  1
746       aykroyd                    1
747       ayman                      5
748       aynaoui                    1
749       ayr                        1
750       ayyam                      2
751       aziz                       1
752       azul                       1
753       azulay                     2
754       babenko                    2
755       babi                       14
756       babkin                     6
757       baboa                      1
758       back                       380
759       backa                      1
760       backbo                     1
761       backcourt                  1
762       backdrop                   4
763       backer                     14
764       backfir                    5
765       background                 4
766       backhand                   14
767       backho                     1
768       backlash                   3
769       backstop                   2
770       backup                     2
771       backward                   3
772       backyard                   1
773       bacon                      18
774       bad                        39
775       badawi                     1
776       badg                       3
777       badli                      39
778       badrasen                   5
779       baffl                      2
780       bag                        14
781       bagad                      1
782       baggag                     1
783       baghbel                    1
784       baghdad                    2
785       bahg                       5
786       bahrain                    35
787       bai                        1
788       baijubahi                  2
789       bail                       4
790       bailey                     6
791       baird                      1
792       bairnt                     1
793       bait                       1
794       bakarec                    3
795       bake                       2
796       baken                      1
797       baker                      5
798       bakhshish                  1
799       bakri                      5
800       balanc                     21
801       balawat                    1
802       balcacer                   2
803       balconi                    11
804       bald                       1
805       balint                     1
806       balk                       4
807       balkan                     25
808       ball                       30
809       ballard                    1
810       ballast                    2
811       ballena                    1
812       ballist                    2
813       ballo                      1
814       balloon                    3
815       ballot                     72
816       ballroom                   2
817       balonia                    1
818       balsamo                    1
819       baltimor                   3
820       baltin                     1
821       bamba                      3
822       bambi                      1
823       bamboo                     4
824       bament                     1
825       ban                        24
826       banco                      1
827       band                       11
828       bandag                     8
829       bandanna                   3
830       bandit                     1
831       bang                       7
832       bangalor                   1
833       bangaru                    3
834       bangladesh                 5
835       bank                       69
836       banker                     10
837       bankrupt                   5
838       bankruptci                 4
839       banner                     9
840       bannon                     1
841       banquet                    1
842       baptist                    6
843       bar                        54
844       barak                      9
845       barb                       4
846       barbar                     2
847       barbara                    24
848       barber                     1
849       barbershop                 1
850       barcelona                  1
851       bare                       46
852       barefacedli                1
853       barent                     36
854       barg                       3
855       bargain                    9
856       bari                       1
857       bark                       1
858       barkina                    2
859       barkolla                   1
860       barkova                    3
861       barna                      4
862       barney                     1
863       barnstorm                  1
864       barot                      1
865       barov                      1
866       barr                       2
867       barrack                    35
868       barrag                     2
869       barrel                     2
870       barrera                    2
871       barri                      1
872       barricad                   18
873       barrier                    12
874       bartlett                   1
875       barua                      5
876       base                       188
877       basebal                    5
878       baselin                    16
879       basement                   1
880       basher                     1
881       bashraheel                 1
882       bashrahel                  1
883       basi                       15
884       basic                      43
885       basilica                   1
886       bask                       2
887       basket                     3
888       basketbal                  1
889       basset                     1
890       bassiouni                  1
891       bastion                    6
892       batch                      1
893       bath                       4
894       bathroom                   3
895       bathtub                    1
896       batic                      2
897       baton                      4
898       battalion                  3
899       batten                     1
900       batter                     8
901       batteri                    2
902       battl                      78
903       battlefield                4
904       battleground               8
905       bauman                     6
906       bautista                   1
907       bavaria                    1
908       bay                        7
909       bazaar                     1
910       bbc                        29
911       be                         1
912       beach                      17
913       beachfront                 1
914       bead                       1
915       beal                       1
916       beam                       14
917       bean                       3
918       bear                       23
919       beard                      20
920       bearer                     2
921       beat                       79
922       beaten                     31
923       beater                     3
924       beaumont                   1
925       beauti                     6
926       beaver                     1
927       becam                      104
928       becausec                   1
929       beci                       2
930       becker                     1
931       becom                      115
932       bed                        35
933       bedanova                   2
934       bedi                       12
935       bedouin                    1
936       bedroom                    6
937       bedsheet                   1
938       beef                       6
939       beer                       2
940       befit                      1
941       befriend                   1
942       befuddl                    1
943       beg                        4
944       began                      156
945       beggar                     1
946       begin                      151
947       begun                      31
948       behalf                     8
949       behan                      1
950       behari                     3
951       behav                      9
952       behavior                   11
953       behind                     155
954       beholden                   3
955       beij                       3
956       beirut                     9
957       bekki                      3
958       belaru                     1
959       belch                      1
960       beleagu                    3
961       belgian                    5
962       belgium                    6
963       belgrad                    100
964       beli                       1
965       belida                     3
966       belief                     17
967       believ                     292
968       belittl                    1
969       bell                       4
970       belliger                   1
971       belong                     31
972       belov                      5
973       belt                       8
974       bema                       2
975       bemoan                     1
976       ben                        5
977       bench                      4
978       benchmark                  1
979       bend                       2
980       beneath                    31
981       benefactor                 2
982       benefici                   1
983       beneficiari                1
984       benefit                    17
985       benevol                    7
986       benign                     1
987       benin                      8
988       benito                     1
989       benjamin                   2
990       bennett                    1
991       benni                      1
992       bent                       13
993       benton                     1
994       bequeath                   1
995       berat                      1
996       bere                       1
997       beresich                   1
998       beretta                    1
999       bergen                     1
1000      berger                     25
1001      berlin                     8
1002      bernstein                  2
1003      bershard                   1
1004      bershevski                 1
1005      berth                      2
1006      beschloss                  1
1007      beset                      2
1008      besid                      27
1009      besieg                     4
1010      bespectacl                 2
1011      best                       101
1012      bet                        5
1013      beta                       8
1014      beth                       1
1015      betray                     4
1016      betrisia                   1
1017      better                     119
1018      bevan                      1
1019      beveneari                  1
1020      bewild                     1
1021      beyond                     37
1022      bhaba                      2
1023      bhachau                    4
1024      bhagat                     1
1025      bhakta                     1
1026      bharatiya                  3
1027      bharpi                     3
1028      bhaskar                    5
1029      bhat                       1
1030      bhatt                      1
1031      bhavesh                    1
1032      bhowmik                    1
1033      bhug                       1
1034      bhuj                       33
1035      bia                        1
1036      biafran                    2
1037      biarritz                   3
1038      bias                       8
1039      bibl                       4
1040      biblic                     1
1041      bicker                     3
1042      bicycl                     5
1043      bid                        50
1044      bidanora                   1
1045      big                        76
1046      bigger                     8
1047      biggest                    39
1048      bigot                      1
1049      bihari                     10
1050      bilater                    8
1051      bilingu                    1
1052      bill                       68
1053      billboard                  2
1054      billet                     1
1055      billi                      4
1056      billion                    59
1057      billionair                 9
1058      billow                     13
1059      biltera                    1
1060      bimal                      2
1061      bin                        87
1062      bind                       5
1063      bindra                     3
1064      bingaman                   2
1065      bingo                      1
1066      binocular                  5
1067      bio                        1
1068      biogeneticist              1
1069      biograph                   3
1070      biographi                  4
1071      biolog                     4
1072      bion                       1
1073      bipartisan                 2
1074      bipartisanship             1
1075      bird                       3
1076      birger                     1
1077      birth                      9
1078      birthday                   6
1079      birthmark                  1
1080      birthplac                  1
1081      biscuit                    3
1082      bishop                     2
1083      bit                        46
1084      bite                       2
1085      biter                      1
1086      bitka                      1
1087      bitten                     1
1088      bitter                     20
1089      bitterli                   10
1090      bittersweet                2
1091      biw                        1
1092      bizarr                     10
1093      bjorn                      1
1094      black                      58
1095      blacken                    4
1096      blackmail                  5
1097      blackout                   4
1098      blade                      1
1099      blair                      15
1100      blakemor                   1
1101      blame                      56
1102      blanchard                  1
1103      blanco                     7
1104      bland                      1
1105      blanda                     1
1106      blank                      3
1107      blanket                    35
1108      blankli                    2
1109      blare                      1
1110      blast                      109
1111      blatant                    2
1112      blaze                      6
1113      bleach                     1
1114      bleacher                   1
1115      bleak                      1
1116      bled                       1
1117      bleed                      2
1118      blemish                    1
1119      blend                      4
1120      bless                      9
1121      blew                       42
1122      blind                      8
1123      blindli                    5
1124      blink                      3
1125      blister                    2
1126      blitz                      1
1127      blitzer                    1
1128      blizzard                   5
1129      bloat                      4
1130      bloc                       7
1131      block                      83
1132      blockad                    15
1133      blocker                    1
1134      blocki                     1
1135      blokosso                   1
1136      blond                      6
1137      blood                      34
1138      bloodbath                  2
1139      bloodi                     8
1140      bloodiest                  1
1141      bloodless                  2
1142      bloodsh                    9
1143      bloodstain                 1
1144      bloomberg                  1
