t_index   term                     df
412       25-year-old                1
413       250                        6
414       250-member                 2
415       2500                       4
416       253                        2
417       255                        4
418       259                        1
419       25th                       6
420       26                         32
421       26-year-old                1
422       264                        1
423       26484                      1
424       267                        2
425       269                        1
426       27                         16
427       27-year-old                6
428       270                        8
429       271                        1
430       275                        6
431       28                         28
432       28-29                      1
433       28-year-old                1
434       28000                      1
435       283                        2
436       2850                       1
437       28th                       1
438       29                         33
439       29-year-old                3
440       293                        3
441       293-strong                 3
442       295                        1
443       2nd                        5
444       3                          154
445       3-0                        5
446       3-1                        2
447       3-2                        3
448       3-3                        1
449       3-5                        1
450       3-6                        32
451       3-day                      1
452       3-foot-high                1
453       3-to-2                     1
454       3-year-old                 6
455       30                         178
456       30-40                      2
457       30-and-ov                  1
458       30-by-40-foot              2
459       30-hour                    1
460       30-minut                   1
461       30-straight                1
462       30-year                    1
463       30-year-old                11
464       300                        49
465       300-ton                    1
466       300-yards-wid              1
467       30303                      1
468       308                        1
469       31                         21
470       31-year-old                3
471       310                        2
472       315                        1
473       31521                      1
474       316                        2
475       317                        1
476       31st                       1
477       32                         14
478       320                        1
479       325                        1
480       327                        2
481       33                         45
482       33-2                       1
483       33-foot-long               1
484       330                        3
485       333                        1
486       335                        6
487       33rd                       1
488       34                         20
489       34-foot                    2
490       34-year-old                2
491       340                        1
492       348                        1
493       35                         60
494       35-year                    3
495       35-year-old                1
496       350                        17
497       350-bed                    1
498       357                        3
499       357-calib                  2
500       36                         28
501       37                         27
502       37-2                       2
503       370                        1
504       372                        1
505       38                         23
506       38-year-old                4
507       385                        2
508       387                        1
509       38th                       2
510       39                         63
511       39-year-old                4
512       3rd                        12
513       4                          86
514       4-0                        6
515       4-1                        8
516       4-2                        9
517       4-3                        5
518       4-4                        4
519       4-5                        3
520       4-6                        16
521       4-all                      2
522       4-point                    3
523       4-seed                     1
524       4-time                     1
525       4-year-old                 9
526       40                         114
527       40-30                      1
528       40-bed                     1
529       40-by-40                   2
530       40-by-40-feet              1
531       40-by-40-foot              13
532       40-foot                    9
533       40-foot-by-40-foot         2
534       40-foot-long               1
535       40-man                     1
536       40-member                  1
537       40-page                    1
538       40-year-old                6
539       400                        38
540       403                        4
541       40th                       1
542       41                         9
543       41-year-old                4
544       412                        2
545       41st                       1
546       42                         18
547       42-day                     1
548       421                        2
549       426                        1
550       43                         9
551       43-year-old                1
552       431                        1
553       435                        3
554       43rd                       7
555       44                         15
556       44-year-old                4
557       440                        6
558       444                        1
559       45                         46
560       450                        1
561       4500                       1
562       456                        2
563       46                         24
564       466                        1
565       47                         15
566       47-minut                   2
567       47-year-old                1
568       473                        2
569       475                        3
570       48                         36
571       48-hour                    1
572       480                        1
573       48th                       1
574       49                         4
575       49-49                      1
576       49560                      1
577       498                        2
578       499                        1
579       5                          194
580       5-0                        5
581       5-1                        2
582       5-2                        5
583       5-3                        13
584       5-4                        11
585       5-5                        5
586       5-7                        11
587       5-foot-2                   5
588       5-foot-8-inch              1
589       5-foot-long                1
590       5-magnitud                 5
591       5-year-old                 6
592       50                         120
593       50-48                      3
594       50-49                      1
595       50-50                      6
596       50-calib                   1
597       50-minut                   1
598       50-year                    5
599       50-year-old                2
600       500                        77
601       500-foot                   5
602       500-foot-long              1
603       500-mile                   2
604       500-year                   1
605       5000                       2
606       505                        1
607       505-foot                   10
608       505-foot-long              1
609       51                         24
610       51-year-old                1
611       51st                       2
612       52                         20
613       52nd                       1
614       53                         13
615       53-47                      1
616       538                        6
617       539                        1
618       54                         32
619       54-46                      7
620       54-year-old                7
621       543                        2
622       54th                       1
623       55                         7
624       55-degre                   1
625       55-minut                   2
626       55-year                    8
627       55-year-old                4
628       550                        2
629       557                        1
630       56                         13
631       56-year-old                7
632       565                        1
633       57                         4
634       57-year-old                1
635       574                        3
636       58                         35
637       58-year                    1
638       580                        1
639       583                        2
640       584-foot                   1
641       59                         17
642       591                        1
643       595                        1
644       5th                        31
645       6                          112
646       6-0                        39
647       6-1                        88
648       6-2                        121
649       6-3                        98
650       6-4                        144
651       6-5                        6
652       6-7                        13
653       6-all                      1
654       6-love                     1
655       6-magnitud                 9
656       60                         52
657       60-foot                    1
658       60-mile                    1
659       60-square-mil              1
660       600                        30
661       600-acr                    1
662       600-ton                    8
663       6000                       2
664       600th                      1
665       60189                      1
666       609                        2
667       61                         7
668       615                        1
669       62                         19
670       62-year-old                12
671       620                        1
672       622                        1
673       627                        1
674       63                         7
675       64                         6
676       64-year-old                5
677       646                        5
678       648                        1
679       65                         21
680       650                        2
681       650-ton                    1
682       651                        2
683       653                        1
684       66                         19
685       66-year-old                4
686       660                        1
687       67                         3
688       67-member                  1
689       67-year-old                1
690       672                        1
691       675                        3
692       677                        1
693       68                         5
694       68-year-old                3
695       680                        1
696       682                        1
697       683                        4
698       683rd                      1
699       687                        1
700       69                         3
701       692                        3
702       693                        2
703       6th                        1
704       7                          150
705       7-11                       1
706       7-4                        1
707       7-5                        45
708       7-6                        62
709       7-foot                     1
710       7-year-old                 1
711       70                         33
712       70-year-old                1
713       700                        13
714       7000                       1
715       701                        1
716       70200                      1
717       703-519-0092               1
718       703-684-5528               1
719       71                         1
720       710                        2
721       711                        1
722       72                         7
723       72-year-old                1
724       726                        2
725       74                         5
726       740                        1
727       747                        1
728       75                         10
729       75-horsepow                1
730       75-year-old                3
731       750                        6
732       752                        1
733       755-5022                   1
734       76                         2
735       762                        1
736       77                         10
737       7729                       1
738       776                        1
739       777-200                    1
740       7777                       1
741       78                         6
742       78-day                     4
743       780                        2
744       784                        1
745       79                         14
746       79-year-old                2
747       7th                        2
748       8                          121
749       8-6                        18
750       8-7                        1
751       8-8                        1
752       8-inch                     2
753       8-month-old                1
754       8-seed                     2
755       8-year-old                 2
756       80                         27
757       80-year-old                2
758       800                        15
759       800-368-3202               1
760       805-964-4767               1
761       81                         3
762       81-year-old                4
763       815                        1
764       83                         3
765       832                        1
766       8320                       1
767       834                        2
768       84                         2
769       846                        1
770       85                         3
771       850                        2
772       85260                      1
773       86                         1
774       86th                       2
775       878                        2
776       888-346-9867               1
777       8th                        7
778       9                          87
779       9-7                        7
780       9-magnitud                 6
781       9-point                    1
782       9-year-old                 1
783       90                         29
784       90-degre                   1
785       900                        1
786       90069                      1
787       903                        1
788       91                         3
789       911                        5
790       918                        1
791       92                         1
792       925                        1
793       927                        2
794       92nd                       1
795       93                         3
796       93-degre                   2
797       930                        2
798       93117                      1
799       94                         1
800       947                        1
801       95                         6
802       95-degre                   1
803       96                         5
804       964                        1
805       968                        1
806       97                         1
807       97-year-old                1
808       98                         4
809       98133                      1
810       98481                      1
811       989                        1
812       99                         11
813       99-day                     1
814       99-year                    1
815       99-year-old                1
816       991                        1
817       992                        9
818       9th                        4
819       a#                         1
820       a-ok                       1
821       aan                        1
822       aaron                      3
823       ab                         1
824       aback                      1
825       abahd                      1
826       abandon                    37
827       abat                       1
828       abc                        101
829       abcnew                     3
830       abdallah                   2
831       abdel                      3
832       abdomin                    2
833       abduct                     4
834       abdul                      5
835       abdul-karim                11
836       abdullah                   49
837       abdurahman                 1
838       aberr                      1
839       abhad                      1
840       abhiyan                    1
841       abhorr                     2
842       abid                       8
843       abidjan                    87
844       abijan                     4
845       abil                       36
846       abl                        135
847       ablaz                      3
848       abnorm                     1
849       aboard                     144
850       abobo                      3
851       abolish                    4
852       abomin                     1
853       abort                      15
854       abou                       1
855       abound                     5
856       about                      1
857       abovo                      2
858       abraham                    13
859       abreast                    1
860       abrego                     1
861       abroad                     58
862       abrog                      2
863       abrupt                     1
864       abruptli                   4
865       abscam                     1
866       absenc                     6
867       absent                     4
868       absente                    7
869       absentia                   3
870       absolut                    54
871       absorb                     9
872       abstain                    1
873       abstent                    1
874       absurd                     2
875       abu                        13
876       abund                      2
877       abus                       31
878       abuse-of-pow               1
879       abuzaakouk                 1
880       abyan                      1
881       abyssinian                 1
882       academ                     6
883       academi                    4
884       academia                   1
885       acced                      1
886       acceler                    4
887       accent                     4
888       accentu                    2
889       accept                     156
890       access                     54
891       accid                      48
892       accident                   3
893       accommod                   11
894       accompani                  36
895       accomplic                  5
896       accomplish                 12
897       accord                     189
898       accordingli                1
899       accordion                  1
900       account                    190
901       accredit                   1
902       accumul                    2
903       accur                      15
904       accuraci                   1
905       accus                      146
906       accustom                   2
907       ace                        34
908       acerb                      2
909       achiev                     32
910       acid                       2
911       acknowledg                 61
912       acolyt                     1
913       acosta                     1
914       acquaint                   2
915       acquiesc                   1
916       acquir                     6
917       acquisit                   1
918       acquit                     8
919       acquitt                    3
920       acrimoni                   2
921       acrobat                    5
922       acronym                    1
923       across                     158
924       across-the-board           1
925       act                        203
926       action                     120
927       activ                      111
928       activist                   20
929       actor                      4
930       actress                    2
931       actual                     93
932       ad                         149
933       ad-dali                    2
934       adam                       9
935       adapt                      5
936       add                        20
937       adden                      1
938       addit                      80
939       address                    74
940       adem                       1
941       aden                       470
942       aden-abyan                 11
943       aden-bas                   1
944       adequ                      7
945       adher                      4
946       adiksa                     2
947       adjac                      4
948       adjam                      2
949       adjoin                     5
950       adjourn                    5
951       adjust                     7
952       adlai                      1
953       adm                        70
954       admen                      3
955       administ                   10
956       administr                  178
957       administration-medi        1
958       admir                      47
959       admiralti                  1
960       admiringli                 1
961       admiss                     2
962       admit                      42
963       ado                        4
964       adob                       1
965       adolesc                    2
966       adopt                      17
967       adorn                      1
968       adoubi                     3
969       adra                       1
970       adrain                     1
971       adrenalin                  1
972       adriat                     1
973       adrift                     8
974       adult                      10
975       advanc                     82
976       advani                     1
977       advantag                   21
978       adventist                  1
979       adventur                   2
980       advers                     2
981       adversari                  3
982       advertis                   12
983       advic                      6
984       advis                      100
985       advisor                    10
986       advisori                   2
987       advoc                      17
988       advocaci                   2
989       aegi                       7
990       aerial                     3
991       aeroflot                   2
992       af                         1
993       affabl                     1
994       affair                     55
995       affect                     33
996       affection                  1
997       affili                     6
998       affirm                     6
999       afflict                    1
1000      afford                     7
1001      affront                    2
1002      afghan                     31
1003      afghan-arab                1
1004      afghan-bas                 3
1005      afghanistan                98
1006      afi                        2
1007      afibia                     4
1008      afield                     1
1009      afir                       2
1010      afl-cio                    2
1011      afloat                     18
1012      afoul                      4
1013      afraid                     37
1014      afredo                     1
1015      africa                     106
1016      african                    73
1017      african-american           1
1018      aft                        4
1019      aftehock                   1
1020      aftermath                  17
1021      afternoon                  75
1022      aftershock                 67
1023      afterward                  13
1024      afundament                 1
1025      agarw                      3
1026      agassi                     204
1027      agbayani                   2
1028      age                        39
1029      agenc                      156
1030      agenda                     14
1031      agent                      168
1032      agglomer                   1
1033      aggrav                     31
1034      aggress                    25
1035      agil                       1
1036      agit                       1
1037      ago                        257
1038      agon                       7
1039      agoni                      3
1040      agonizingli                1
1041      agre                       104
1042      agreement                  78
1043      agricultur                 17
1044      agustin                    1
1045      ah                         1
1046      aha                        1
1047      ahead                      62
1048      ahemdabad                  1
1049      ahm                        16
1050      ahmad                      1
1051      ahmadabad                  3
1052      ahmar                      1
1053      ahmedabad                  47
1054      ahold                      1
1055      ahren                      1
1056      ai                         1
1057      aid                        229
1058      aida                       2
1059      ail                        5
1060      ailment                    1
1061      aim                        38
1062      ainst                      1
1063      air                        252
1064      air-condition              1
1065      air-qual                   1
1066      air-strik                  1
1067      air-to-air                 1
1068      air-traff                  1
1069      aircraft                   37
1070      airdrop                    2
1071      airfield                   1
1072      airforc                    1
1073      airlift                    4
1074      airlin                     8
1075      airlock                    1
1076      airman                     1
1077      airmen                     11
1078      airplan                    9
1079      airport                    61
1080      airstrik                   6
1081      airtim                     3
1082      airwav                     1
1083      airway                     3
1084      aisl                       3
1085      aj                         1
1086      ajax                       1
1087      ajnar                      5
1088      ajw                        1
1089      akaka                      2
1090      akan                       4
1091      akin                       3
1092      akishio                    1
1093      akouedo                    1
1094      al                         96
1095      al-                        5
1096      al-abidin                  4
1097      al-ahmar                   1
1098      al-ayyam                   1
1099      al-badawi                  2
1100      al-fadhli                  3
1101      al-gama                    1
1102      al-gamaa                   2
1103      al-gerin                   1
1104      al-ghashmi                 1
1105      al-hadith                  1
1106      al-hamdi                   2
1107      al-harazi                  3
1108      al-hassan                  1
1109      al-iryani                  21
1110      al-islamiya                2
1111      al-islaymiyya              1
1112      al-jazeera                 3
1113      al-jefri                   1
1114      al-jihad                   1
1115      al-khamri                  1
1116      al-masri                   4
1117      al-megrahi                 1
1118      al-midhar                  3
1119      al-mihdar                  15
1120      al-muhajiroun              3
1121      al-musawah                 4
1122      al-naderi                  6
1123      al-nahdi                   1
1124      al-nizali                  1
1125      al-omeri                   3
1126      al-owhali                  2
1127      al-qadhi                   3
1128      al-qaeda                   1
1129      al-qaida                   3
1130      al-ribat                   12
1131      al-shahrani                3
1132      al-sharia                  1
1133      al-sharjani                2
1134      al-sharq                   1
1135      al-shueib                  1
1136      al-wadi                    1
1137      al-zawahri                 2
1138      al-zindani                 2
1139      ala                        10
1140      alabama                    6
1141      alain                      1
1142      alami                      2
1143      alamoudi                   2
1144      alan                       7
1145      alarm                      22
1146      alasan                     1
